Date,Close,Signal,Portfolio Value,Rise/Fall,Stocks Held,Cash in Hand,Stock
2022-01-04,466.0407409667969,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-05,465.30657958984375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-06,468.9773254394531,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-07,483.0731201171875,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-10,482.4857482910156,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-11,476.07415771484375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-12,487.4290771484375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-13,496.77728271484375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-14,495.651611328125,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-17,495.2600708007813,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-18,485.520263671875,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-19,494.1343383789063,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-20,492.763916015625,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-21,495.99420166015625,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-24,468.2921447753906,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-25,475.4868774414063,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-27,478.8149719238281,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-28,479.98968505859375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-01-31,478.7171020507813,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-01,500.203369140625,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-02,503.0910034179688,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-03,501.8184814453125,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-04,514.0543823242188,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-07,511.5582580566406,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-08,515.6694946289062,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-09,530.8419799804688,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-10,535.6874389648438,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-11,531.2335815429688,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-14,510.2367858886719,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
